Lapangan Usaha,PDRB
"Pertanian, Kehutanan, dan Perikanan
Agriculture, Forestry, and Fishing",2791428
Pertambangan dan Penggalian/Mining and Quarrying,2026589.2
Industri Pengolahan/Manufacturing,4202866.9
Pengadaan Listrik dan Gas/Electricity and Gas,227527.4
"Pengadaan Air; Pengelolaan Sampah, Limbah,
dan Daur Ulang/ Water Supply; Sewerage,
Waste Management, and Remediation Activities",14258.8
Konstruksi/Construction,2233463.12
"Perdagangan Besar dan Eceran; Reparasi Mobil
dan Sepeda Motor/Wholesale and Retail Trade;
Repair of Motor Vehicles and Motorcycles",2892694.6
Transportasi dan Pergudangan/Transportation and Storage,1358116.6
"Penyediaan Akomodasi dan Makan Minum
Accommodation and Food Service Activities",584447.1
Informasi dan Komunikasi,960021.6
"Jasa Keuangan dan Asuransi
Financial and Insurance Activities",922810.9
Real Estat/Real Estate Activities,520728.1
Jasa Perusahaan/Business Activities,424169.8
"Administrasi Pemerintahan, Pertahanan,
dan Jaminan Sosial Wajib/Public Administration
and Defence; Compulsory Social Security",673717.5
Jasa Pendidikan/Education,621417.4
"Jasa Kesehatan dan Kegiatan Sosial
Human Health and Social Work Activities",278216.1
Jasa Lainnya/Other Services Activities,454309.2
"Nilai Tambah Bruto Atas Harga Dasar
Gross Value Added At Basic Price",21186782.3
"Pajak Dikurang Subsidi Atas Produk
Taxes less Subsidies on Products",952181.7
"Produk Domestik Bruto
Gross Domestic Product",22138964
