Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan
ACEH,14.8,5.97,8.97
SUMATERA UTARA,13.91,6.87,10.83
SUMATERA BARAT,17.61,9,13.22
RIAU,15.45,7.67,10.78
JAMBI,16.37,6.52,9.77
SUMATERA SELATAN,15.97,4.77,8.99
BENGKULU,21.18,6.65,11.49
LAMPUNG,12.6,4.87,7.39
KEP. BANGKA BELITUNG,14.43,6.64,11.09
KEP. RIAU,17.74,7.08,16.54
DKI JAKARTA,23.52,0,23.52
JAWA BARAT,15.2,4.99,13.03
JAWA TENGAH,12.55,6.32,9.57
DI YOGYAKARTA,21.52,10.46,18.69
JAWA TIMUR,14.8,6.59,11.14
BANTEN,15.32,4.06,12.5
BALI,19.11,8.04,15.94
NUSA TENGGARA BARAT,12.36,6.52,9.46
NUSA TENGGARA TIMUR,23.09,7.75,11.7
KALIMANTAN BARAT,15.85,5.11,9.05
KALIMANTAN TENGAH,17.45,5.75,10.68
KALIMANTAN SELATAN,15.8,7.09,11.36
KALIMANTAN TIMUR,20.42,7.08,16.26
KALIMANTAN UTARA,19.6,9.13,15.84
SULAWESI UTARA,15.03,7.07,11.37
SULAWESI TENGAH,17.41,6.79,10.16
SULAWESI SELATAN,18.55,9.21,13.48
SULAWESI TENGGARA,18.12,8.08,11.73
GORONTALO,19.34,8.7,13.39
SULAWESI BARAT,16.3,7.67,9.41
MALUKU,20.47,6.95,12.74
MALUKU UTARA,18.75,5.64,9.4
PAPUA BARAT,16.25,7.28,11
PAPUA BARAT DAYA,-,-,-
PAPUA,16.77,1.86,6.08
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,15.95,6.37,11.88
