38 Provinsi,,,
,Persentase Penduduk yang Menggunakan Komputer menurut Provinsi dan Klasifikasi Daerah (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2024,2024,2024
ACEH,15.19,6.2,9.37
SUMATERA UTARA,13.06,5.73,9.95
SUMATERA BARAT,17.36,8.07,12.83
RIAU,16.39,6.19,10.3
JAMBI,17.29,6.34,10
SUMATERA SELATAN,14.13,5.49,8.79
BENGKULU,20.22,6.83,11.34
LAMPUNG,12.51,5.49,7.88
KEP. BANGKA BELITUNG,15.19,5.6,11.21
KEP. RIAU,19.51,8.22,18.34
DKI JAKARTA,23.47,-,23.47
JAWA BARAT,16.51,6.59,14.54
JAWA TENGAH,13.06,6.7,10.1
DI YOGYAKARTA,23.25,9.67,19.91
JAWA TIMUR,14.45,6.3,10.92
BANTEN,16.23,3.8,13.72
BALI,20.8,7.75,17.25
NUSA TENGGARA BARAT,13.33,6.97,10.29
NUSA TENGGARA TIMUR,20.91,7.53,11.13
KALIMANTAN BARAT,15.16,5.01,8.89
KALIMANTAN TENGAH,17.05,5.95,10.8
KALIMANTAN SELATAN,15.61,6.8,11.22
KALIMANTAN TIMUR,18.41,8.86,15.48
KALIMANTAN UTARA,13.75,8.24,11.81
SULAWESI UTARA,14.43,6.64,10.97
SULAWESI TENGAH,19.74,6.64,10.99
SULAWESI SELATAN,18.81,7.71,12.97
SULAWESI TENGGARA,19.47,7.69,12.29
GORONTALO,18.78,7.85,12.86
SULAWESI BARAT,19.4,7.64,10.02
MALUKU,19.08,5.89,11.67
MALUKU UTARA,19.21,5.62,9.61
PAPUA BARAT,18.36,6.4,10.09
PAPUA BARAT DAYA,13.28,6.11,9.71
PAPUA,19.46,4.85,13.61
PAPUA SELATAN,22.85,4.04,10.94
PAPUA TENGAH,17.39,0.98,4.81
PAPUA PEGUNUNGAN,8.61,0.6,1.16
INDONESIA,16.33,6.36,12.23
