Kabupaten / Kota,Produksi Padi,Produksi Beras
Kabupaten Cilacap,772113,444011
Kabupaten Banyumas,284554,163635
Kabupaten Purbalingga,165622,95243
Kabupaten Banjarnegara,114912,66081
Kabupaten Kebumen,425285,244564
Kabupaten Purworejo,283105,162802
Kabupaten Wonosobo,70459,40518
Kabupaten Magelang,175080,100681
Kabupaten Boyolali,302311,173847
Kabupaten Klaten,367724,211463
Kabupaten Sukoharjo,308688,177514
Kabupaten Wonogiri,380055,218554
Kabupaten Karanganyar,277554,159610
Kabupaten Sragen,683496,393051
Kabupaten Grobogan,787275,452730
Kabupaten Blora,485012,278910
Kabupaten Rembang,180299,103682
Kabupaten Pati,588697,338535
Kabupaten Kudus,196822,113184
Kabupaten Jepara,209088,120238
Kabupaten Demak,617855,355303
Kabupaten Semarang,147746,84962
Kabupaten Temanggung,58782,33803
Kabupaten Kendal,169771,97629
Kabupaten Batang,131915,75859
Kabupaten Pekalongan,167071,96075
Kabupaten Pemalang,405440,233152
Kabupaten Tegal,340554,195839
Kabupaten Brebes,450663,259158
Kota Magelang,798,459
Kota Surakarta,156,90
Kota Salatiga,3614,2078
Kota Semarang,15691,9023
Kota Pekalongan,7684,4419
Kota Tegal,3179,1828
