38 Provinsi,,,
,Rata-Rata Konsumsi Rumah Tangga untuk Telekomunikasi Menurut Provinsi (Rupiah),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2020,2020,2020
ACEH,195761.23,114291.86,141673.89
SUMATERA UTARA,179398.79,116199.99,151112.31
SUMATERA BARAT,215043.56,129091.7,170751.92
RIAU,261521.75,160285.59,201491.96
JAMBI,207105.03,134207.11,157783.98
SUMATERA SELATAN,194015.25,109490.04,140675.04
BENGKULU,224093.66,105666.19,147467.08
LAMPUNG,175179.81,95472.18,119491.92
KEP. BANGKA BELITUNG,231202.41,158057.78,199020.05
KEP. RIAU,253588.4,159483.78,244787.79
DKI JAKARTA,242608.61,-,242608.61
JAWA BARAT,182534.18,99138.6,163544.26
JAWA TENGAH,146965.84,106661.34,127710.69
DI YOGYAKARTA,181503.42,88743.54,159705.87
JAWA TIMUR,163065.76,93343.33,131960.18
BANTEN,229679.66,117893.11,201231.48
BALI,228929.23,138386.34,203198.24
NUSA TENGGARA BARAT,138144.82,97119.62,117199.65
NUSA TENGGARA TIMUR,224142.18,78488.16,119607.8
KALIMANTAN BARAT,255491.25,131654.11,177922.68
KALIMANTAN TENGAH,266543.93,173315.22,212428.91
KALIMANTAN SELATAN,225090.55,139935.52,181273.7
KALIMANTAN TIMUR,304820.91,220930.85,278061.37
KALIMANTAN UTARA,319114,239990.31,288382.99
SULAWESI UTARA,215868.51,133432.82,178741.82
SULAWESI TENGAH,256859.71,131079.73,171407.49
SULAWESI SELATAN,231896.4,110146.01,163023.48
SULAWESI TENGGARA,246233.5,121033.16,170986.19
GORONTALO,227512.08,137854.41,177188.34
SULAWESI BARAT,201984.21,118331.57,139044.45
MALUKU,325279.76,174264.17,249149.17
MALUKU UTARA,316679.94,160939.37,213006.99
PAPUA BARAT,388335.56,237242.03,303521.87
PAPUA BARAT DAYA,-,-,-
PAPUA,334949.37,197390.25,256882.44
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,196706,114639.36,162308.06
