Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan
ACEH,227306.66,148893.87,177041.76
SUMATERA UTARA,231056.57,160449.74,200981.13
SUMATERA BARAT,268687.96,179369.99,225641.01
RIAU,309249.61,223526.79,257906.76
JAMBI,278190.75,187604.11,217882.7
SUMATERA SELATAN,242464.02,138102.28,176716.84
BENGKULU,303162.47,155149.75,205799.49
LAMPUNG,200371.6,133279.88,155535.65
KEP. BANGKA BELITUNG,276132.02,220509.49,253552.36
KEP. RIAU,329761.23,191212.49,316249.44
DKI JAKARTA,365293.14,-,365293.14
JAWA BARAT,244389.77,140098.55,223687.84
JAWA TENGAH,203356.03,137586.23,172659.09
DI YOGYAKARTA,268429.25,160112.24,244443.61
JAWA TIMUR,205907.76,123518.29,170705.59
BANTEN,257787.6,137263.75,235934.46
BALI,324523.03,184885.67,288565.24
NUSA TENGGARA BARAT,141747.61,103166.65,123656.31
NUSA TENGGARA TIMUR,232016.05,121187,153422.63
KALIMANTAN BARAT,300357.44,174880.26,223845.62
KALIMANTAN TENGAH,277666.76,233699.34,253271.32
KALIMANTAN SELATAN,249848.11,178903.5,215063.42
KALIMANTAN TIMUR,389165.61,267569.11,351598.42
KALIMANTAN UTARA,337870.14,263205.27,311888.88
SULAWESI UTARA,256915.88,141209.81,207204.45
SULAWESI TENGAH,273572.23,152548.13,194342.16
SULAWESI SELATAN,246373.37,147439.29,194566.25
SULAWESI TENGGARA,276437.47,158708.64,205366.24
GORONTALO,239095.45,130729.2,182627.75
SULAWESI BARAT,302109.52,144296.79,175939.31
MALUKU,380891.61,203038.3,286069.1
MALUKU UTARA,370587.86,232677.03,276230.59
PAPUA BARAT,391385.76,319347.36,342534.31
PAPUA BARAT DAYA,359960.59,345017.41,353250.07
PAPUA,380160.15,184014.71,311100.14
PAPUA SELATAN,414574.28,234626.95,317061.95
PAPUA TENGAH,415774.66,196778.25,297683.21
PAPUA PEGUNUNGAN,301602.22,210878.96,228644.67
INDONESIA,251824.86,151338.7,211690.16
